timestamp,value
2021-09-30T23:58:00Z,0.7
2021-09-30T23:58:30Z,0.7
2021-09-30T23:59:00Z,0.7
2021-10-01T00:00:00Z,0.7
2021-10-01T00:00:30Z,0.7
2021-10-01T00:01:00Z,0.7
2021-10-01T00:01:30Z,0.4
2021-10-01T00:02:00Z,0.4
2021-10-01T00:02:30Z,1.1
2021-10-01T00:03:00Z,0.9
2021-10-01T00:03:30Z,0.7
2021-10-01T00:04:00Z,0.9
2021-10-01T00:04:30Z,0.7
2021-10-01T00:05:00Z,0.9
2021-10-01T00:05:30Z,0.7
2021-10-01T00:06:00Z,0.7
2021-10-01T00:06:30Z,0.7
2021-10-01T00:07:00Z,0.7
2021-10-01T00:07:30Z,0.7
2021-10-01T00:08:00Z,0.7
2021-10-01T00:08:30Z,0.7
2021-10-01T00:09:00Z,0.7
2021-10-01T00:09:30Z,0.7
2021-10-01T00:10:00Z,0.7
2021-10-01T00:10:30Z,0.7
2021-10-01T00:11:00Z,0.4
2021-10-01T00:11:30Z,1.0
2021-10-01T00:12:00Z,0.4
2021-10-01T00:12:30Z,1.1
2021-10-01T00:13:30Z,1.0
2021-10-01T00:14:00Z,0.4
2021-10-01T00:14:30Z,1.1
2021-10-01T00:15:00Z,0.9
2021-10-01T00:15:30Z,0.7
2021-10-01T00:16:00Z,0.7
2021-10-01T00:16:30Z,1.2
2021-10-01T00:17:00Z,0.7
2021-10-01T00:17:30Z,0.7
2021-10-01T00:18:00Z,0.2
2021-10-01T00:19:00Z,0.7
2021-10-01T00:19:30Z,0.4
2021-10-01T00:20:00Z,1.5
2021-10-01T00:20:30Z,1.8
2021-10-01T00:21:00Z,0.7
2021-10-01T00:21:30Z,1.8

